"";"cluster";"x";"y";"entity";"entity_type";"size";"color"
"4220";47;-43,128853;-13,469776;"ЗЫОНГ ДЫК ХА";"author";1;"#BA671F"
"4221";47;-51,601982;-8,979243;"КАДЫРОВ Я.Р.";"author";1;"#BA671F"
"4222";16;17,3839;-6,551069;"РУЛИН В.И.";"author";1;"#BBFD30"
"4223";15;-5,50634;-20,22283;"КОЛБИН И.С.";"author";1;"#87CEEB"
"4224";0;-23,671223;27,17612;"ШОЛЬ Д.Е.";"author";1;"#D01702"
"4225";34;-33,096676;52,36001;"КОЛЕСНИКОВА К.А.";"author";1;"#BA8458"
"4226";32;33,03057;-18,633808;"РЯХОВСКИЙ А.П.";"author";1;"#BAE753"
"4227";32;33,325928;-18,473776;"ПЕТРОВ И.А.";"author";1;"#BAE753"
"4228";38;-4,4796944;48,092884;"ОСИПОВА НАТАЛЬЯ ВИКТОРОВНА";"author";1;"#BA9705"
"4229";38;-4,570123;45,902756;"БАДАЕВА Н.Н.";"author";1;"#BA9705"
"4230";49;-36,461933;15,587925;"МОРУГИН П.";"author";1;"#BADDC8"
"4231";37;-9,119344;4,20938;"ЛИОКУМОВИЧ ДМИТРИЙ СЕМЕНОВИЧ";"author";1;"#BA3F2C"
"4232";9;42,392548;2,6509502;"КАБДУЛИН Г.В.";"author";1;"#008080"
"4233";33;-27,290205;5,6872797;"НЕДАЙВОДА АНАТОЛИЙ КОНСТАНТИНОВИЧ";"author";1;"#BA2B7F"
"4234";12;-20,098366;-31,108406;"ГОСТЮХИН В.Л.";"author";1;"#A020F0"
"4235";15;-7,789675;-22,573866;"ДМИТРЕНКО ВЛАДИМИР ПЕТРОВИЧ";"author";1;"#87CEEB"
"4236";30;-50,140736;25,289703;"ГОРЧАКОВ НИКОЛАЙ НИКОЛАЕВИЧ";"author";1;"#BA70AA"
"4237";21;8,13038;36,9092;"НИКОЛАЕВА М.Е.";"author";1;"#BB5509"
"4238";38;-6,107898;50,66712;"МАКИЕВСКАЯ НАТАЛЬЯ МИХАЙЛОВНА";"author";1;"#BA9705"
"4239";19;-43,4355;-16,942917;"ФЕДОРОВ ЕВГЕНИЙ АНАТОЛЬЕВИЧ";"author";1;"#BBDF60"
"4240";45;3,7747257;-16,422098;"КОТЕЛЬНИКОВА АННА ВАЛЕРЬЕВНА";"author";1;"#BA6687"
"4241";0;-32,867886;18,302551;"РЫЧАГОВ МИХАИЛ СЕРГЕЕВИЧ";"author";1;"#D01702"
"4242";10;-6,150972;16,399302;"ЕФИМОВА НАТАЛЬЯ СЕРГЕЕВНА";"author";1;"#E100A5"
"4243";14;-57,72856;16,847778;"ЧУРКИН ЭРНСТ МИХАЙЛОВИЧ";"author";1;"#008000"
"4244";2;23,808123;35,62082;"ПАНЕВИНА АННА ВЯЧЕСЛАВОВНА";"author";1;"#0088AE"
"4245";32;32,626;-23,010063;"ДИН КАЙ ЦЗЯНЬ ";"author";1;"#BAE753"
"4246";4;-26,24553;-47,56687;"ШАПОШНИКОВА М.А.";"author";1;"#E10291"
"4247";32;29,011543;-22,577393;"СОТНИКОВА Е.В.";"author";1;"#BAE753"
"4248";7;20,61764;-49,213203;"СТЕПНОВ МИХАИЛ НИКИТОВИЧ";"author";1;"#E19239"
"4249";7;19,836197;-50,01049;"НАУМКИН А.С.";"author";1;"#E19239"
"4250";45;2,7904441;-14,713652;"ТАТАРСКИЙ Б.Г.";"author";1;"#BA6687"
"4251";15;-10,35371;-19,662598;"РОМАНОВ А.А.";"author";1;"#87CEEB"
"4252";27;-15,025903;20,324297;"МАНЬКОВСКАЯ ИРИНА АЛЕКСАНДРОВНА";"author";1;"#BB06BB"
"4253";34;-24,788925;47,02311;"НАТЁСОВА ВАЛЕНТИНА ВЯЧЕСЛАВОВНА";"author";1;"#BA8458"
"4254";28;13,185901;8,310497;"ПЕТРУЧИК ВЛАДИМИР ПЕТРОВИЧ";"author";1;"#BB3739"
"4255";20;14,519168;-36,845978;"КУЗНЕЦОВ АЛЕКСАНДР ВАЛЕРЬЕВИЧ";"author";1;"#BB10DD"
"4256";16;17,609484;-15,512276;"ПОПОВА Ю.А.";"author";1;"#BBFD30"
"4257";20;14,461014;-40,887527;"ГНЕСИН ЕВГЕНИЙ МИХАЙЛОВИЧ";"author";1;"#BB10DD"
"4258";20;0,0093179;-40,164833;"БЕЛЯЕВ ЕВГЕНИЙ НИКОЛАЕВИЧ";"author";1;"#BB10DD"
"4259";10;0,5113837;10,822811;"НЕВЗОРОВА НАТАЛЬЯ АНДРЕЕВНА";"author";1;"#E100A5"
"4260";1;15,738872;-32,995907;"ЗЕЧИХИН БОРИС СЕМЕНОВИЧ";"author";1;"#54BD01"
"4261";31;2,196009;-48,825607;"ЖУРАВЛЕВ СЕРГЕЙ ВЛАДИМИРОВИЧ";"author";1;"#BAB5D5"
"4262";31;-0,22846499;-50,387238;"КУЗЬМИЧЕВ РОМАН ВАЛЕРЬЕВИЧ";"author";1;"#BAB5D5"
"4263";31;7,2148604;-50,580563;"ВОРОБЬЕВ ИЛЬЯ НИКОЛАЕВИЧ";"author";1;"#BAB5D5"
"4264";27;-15,958806;34,63033;"КЛЕЕВ И.В.";"author";1;"#BB06BB"
"4265";2;25,377619;21,03482;"НГУЕН ВАН ХОЙ";"author";1;"#0088AE"
"4266";15;-4,693527;-21,698711;"СЕРКИН Ф.Б.";"author";1;"#87CEEB"
"4267";48;-0,13433088;-26,801258;"РАХМАНОВ А.Е.";"author";1;"#BA999D"
"4268";24;-50,14562;-29,155281;"ШАКИМОВ ЛЕОНИД АНВАРОВИЧ";"author";1;"#BB248B"
"4269";45;1,214633;-14,352521;"ШМАТОВ С.И.";"author";1;"#BA6687"
"4270";45;11,154536;-13,945589;"МОРДВИНКИН А.С.";"author";1;"#BA6687"
"4271";16;18,158916;-9,872909;"ИВАНКОВ А.А.";"author";1;"#BBFD30"
"4272";43;20,39877;53,069435;"ЯРЦЕВА АННА ЮРЬЕВНА";"author";1;"#BAF0DE"
"4273";33;-18,40017;1,3810508;"АНДРЕЕВ ИВАН ВИКТОРОВИЧ";"author";1;"#BA2B7F"
"4274";7;29,933119;-52,919254;"ХАРЛАМОВА Е.Н.";"author";1;"#E19239"
"4275";7;29,933119;-52,919254;"SHCHERBINA M.A.";"author";1;"#E19239"
"4276";20;8,489529;-37,297802;"ПАРИНОВ Н.В.";"author";1;"#BB10DD"
"4277";32;25,570461;-17,76228;"КОВАЛЕВИЧ М.В.";"author";1;"#BAE753"
"4278";16;15,244091;-9,866501;"ГОНЧАРОВ А.В.";"author";1;"#BBFD30"
"4279";36;-27,097626;-37,503883;"БАКУЛЕВ П.А.";"author";1;"#BAFA01"
"4280";5;37,68458;-22,876009;"СПЕРАНСКИЙ К.А.";"author";1;"#00E1E1"
"4281";32;33,71306;-21,456512;"ПЕТРОВ А.А.";"author";1;"#BAE753"
"4282";27;-18,615576;32,442177;"ЛОСЕВА Н.С.";"author";1;"#BB06BB"
"4283";16;19,759111;-13,933855;"БАТУРИН Д.А.";"author";1;"#BBFD30"
"4284";10;-8,196757;20,158731;"РЫЖКО АНДРЕЙ ЛЕОНИДОВИЧ";"author";1;"#E100A5"
"4285";40;10,860215;18,77501;"КЛЕШНИН ВЛАДИМИР ЮРЬЕВИЧ";"author";1;"#BA0DAE"
"4286";15;-2,8099499;-15,209697;"КОСТЮКОВ ВЯЧЕСЛАВ МИХАЙЛОВИЧ";"author";1;"#87CEEB"
"4287";7;20,133787;-47,858223;"ШИРОКОВА Е.К.";"author";1;"#E19239"
"4288";41;-20,461178;-19,82826;"АННЕНКОВ А.М.";"author";1;"#BA52DA"
"4289";27;-12,812029;19,8819;"САДКОВСКАЯ Н.Е.";"author";1;"#BB06BB"
"4290";38;-11,701492;38,85112;"КРЯКУШИНА АНАСТАСИЯ ВЛАДИМИРОВНА";"author";1;"#BA9705"
"4291";15;-1,3587205;-19,085604;"ХРОМОВА О.М.";"author";1;"#87CEEB"
"4292";27;-10,723545;23,693636;"МОКРОУСОВА ЕЛЕНА ИГОРЕВНА";"author";1;"#BB06BB"
"4293";8;36,742523;40,351788;"ТУРЗИН ПЕТР СТЕПАНОВИЧ";"author";1;"#FF69B4"
"4294";8;36,742523;40,351788;"НАЙЧЕНКО М.В.";"author";1;"#FF69B4"
"4295";20;10,066293;-36,634315;"ХАЙРНАСОВ КАМИЛЬ ЗАЙНУТДИНОВИЧ";"author";1;"#BB10DD"
"4296";40;6,2839704;25,30881;"КУЗНЕЦОВА Е.В.";"author";1;"#BA0DAE"
"4297";13;9,380567;47,842155;"ФЕДУЛОВА АННА НИКОЛАЕВНА";"author";1;"#C0C0C0"
"4298";15;-2,4264538;-12,489125;"МИН ТЕЙН";"author";1;"#87CEEB"
"4299";28;21,238518;14,117182;"ВОЛКОВСКИЙ А.С.";"author";1;"#BB3739"
"4300";14;-58,835087;16,666533;"АМПИЛОВ В.И.";"author";1;"#008000"
"4301";12;-24,376163;-33,80608;"ИБРАГИМОВ ДАНИС НАИЛЕВИЧ";"author";1;"#A020F0"
"4302";33;-28,615648;-4,0948663;"РУЧИНСКАЯ Л.В.";"author";1;"#BA2B7F"
"4303";19;-36,326588;-14,715588;"ДЯКИН НИКОЛАЙ ВАЛЕРЬЕВИЧ";"author";1;"#BBDF60"
"4304";11;-9,490121;58,797523;"ГВОЗДЕЦКИЙ Д.С.";"author";1;"#A500E1"
"4305";41;-13,553062;-7,6191373;"ГРИШИН ДМИТРИЙ ВИКТОРОВИЧ";"author";1;"#BA52DA"
