"";"cluster";"x";"y";"entity";"entity_type";"size";"color";"display"
"137";7;39,26702;-34,04646;"additive_manufacturing_process";"ngram";1;"#E19239";"ADDITIVE MANUFACTURING PROCESS"
"138";7;37,60738;-34,59912;"additive_manufacturing_system";"ngram";1;"#E19239";"ADDITIVE MANUFACTURING SYSTEM"
"139";30;47,396885;-23,40425;"additive_manufacturing_tool";"ngram";1;"#BA70AA";"ADDITIVE MANUFACTURING TOOL"
"140";16;11,537658;60,503838;"address_decoder";"ngram";1;"#BBFD30";"ADDRESS DECODER"
"141";11;-6,068616;80,79026;"address_information";"ngram";1;"#A500E1";"ADDRESS INFORMATION"
"142";30;45,10344;-15,683664;"adhere_layer";"ngram";1;"#BA70AA";"ADHERE LAYER"
"143";30;41,060383;-14,266387;"adhesion_layer";"ngram";1;"#BA70AA";"ADHESION LAYER"
"144";40;58,218323;-11,740074;"adhesion_promotion_layer";"ngram";1;"#BA0DAE";"ADHESION PROMOTION LAYER"
"145";31;47,280266;-30,464542;"adhesion_strength";"ngram";1;"#BAB5D5";"ADHESION STRENGTH"
"146";24;32,05054;-21,058163;"adhesive_bonding";"ngram";1;"#BB248B";"ADHESIVE BONDING"
"147";20;10,469027;-30,24023;"adhesive_fillet";"ngram";1;"#BB10DD";"ADHESIVE FILLET"
"148";30;40,46803;-18,74807;"adhesive_force";"ngram";1;"#BA70AA";"ADHESIVE FORCE"
"149";30;36,90579;-14,132861;"adhesive_material";"ngram";1;"#BA70AA";"ADHESIVE MATERIAL"
"150";31;47,48476;-29,517101;"adhesive_property";"ngram";1;"#BAB5D5";"ADHESIVE PROPERTY"
"151";13;-52,19271;-63,818253;"adjacent_airfoil";"ngram";1;"#C0C0C0";"ADJACENT AIRFOIL"
"152";48;-7,525506;4,2379975;"adjacent_beam";"ngram";1;"#BA999D";"ADJACENT BEAM"
"153";2;-5,1023974;-15,210597;"adjacent_disc";"ngram";1;"#0088AE";"ADJACENT DISC"
"154";33;-33,484882;-48,031754;"adjacent_disk";"ngram";1;"#BA2B7F";"ADJACENT DISK"
"155";13;-52,099983;-56,198784;"adjacent_fan_blade";"ngram";1;"#C0C0C0";"ADJACENT FAN BLADE"
"156";22;-8,921908;-25,675653;"adjacent_flap";"ngram";1;"#BBADE2";"ADJACENT FLAP"
"157";45;15,007134;-2,3168306;"adjacent_part";"ngram";1;"#BA6687";"ADJACENT PART"
"158";5;-49,673336;15,028286;"adjacent_platform";"ngram";1;"#00E1E1";"ADJACENT PLATFORM"
"159";22;-6,30526;-26,452173;"adjacent_rib";"ngram";1;"#BBADE2";"ADJACENT RIB"
"160";13;-52,462364;-56,774143;"adjacent_rotor_blade";"ngram";1;"#C0C0C0";"ADJACENT ROTOR BLADE"
"161";34;19,21085;-14,409571;"adjacent_surface";"ngram";1;"#BA8458";"ADJACENT SURFACE"
"162";24;32,686108;-19,022816;"adjacent_tape";"ngram";1;"#BB248B";"ADJACENT TAPE"
"163";22;-5,779259;-28,887064;"adjacent_wall_segment";"ngram";1;"#BBADE2";"ADJACENT WALL SEGMENT"
"164";8;-49,586216;-12,746103;"adjust_lever";"ngram";1;"#FF69B4";"ADJUST LEVER"
"165";15;-1,370794;17,87203;"adjust_unit";"ngram";1;"#87CEEB";"ADJUST UNIT"
"166";48;-17,538254;2,374937;"adjustable_base";"ngram";1;"#BA999D";"ADJUSTABLE BASE"
"167";36;-23,280306;-12,931244;"adjustable_distance";"ngram";1;"#BAFA01";"ADJUSTABLE DISTANCE"
"168";0;-23,770184;-70,28631;"adjustable_flap";"ngram";1;"#D01702";"ADJUSTABLE FLAP"
"169";29;49,397163;58,395805;"adjustable_gain";"ngram";1;"#BB7C64";"ADJUSTABLE GAIN"
"170";20;6,046248;-32,92618;"adjustable_gap";"ngram";1;"#BB10DD";"ADJUSTABLE GAP"
"171";19;-25,285366;-7,827874;"adjustable_hinge";"ngram";1;"#BBDF60";"ADJUSTABLE HINGE"
"172";29;46,098164;60,361156;"adjustable_phase";"ngram";1;"#BB7C64";"ADJUSTABLE PHASE"
"173";32;-26,095537;-46,65342;"adjustable_seal";"ngram";1;"#BAE753";"ADJUSTABLE SEAL"
"174";2;3,3704474;-17,491652;"adjustment_body";"ngram";1;"#0088AE";"ADJUSTMENT BODY"
"175";8;-37,66557;-4,034227;"adjustment_lever";"ngram";1;"#FF69B4";"ADJUSTMENT LEVER"
"176";36;-15,859343;-12,015824;"adjustment_plate";"ngram";1;"#BAFA01";"ADJUSTMENT PLATE"
"177";42;-51,753757;-21,158628;"adjustment_ring";"ngram";1;"#BAABB3";"ADJUSTMENT RING"
"178";36;-25,458672;-20,384176;"adjustment_slot";"ngram";1;"#BAFA01";"ADJUSTMENT SLOT"
"179";15;-2,0550644;16,85923;"adjustment_state";"ngram";1;"#87CEEB";"ADJUSTMENT STATE"
"180";26;-55,987427;32,091404;"ads_b_datum";"ngram";1;"#BBC18F";"ADS B DATUM"
"181";11;-4,4662795;80,81491;"advertisement_message";"ngram";1;"#A500E1";"ADVERTISEMENT MESSAGE"
"182";26;-51,443665;34,041885;"aerial_target";"ngram";1;"#BBC18F";"AERIAL TARGET"
"183";26;-51,86963;29,979485;"aerial_vehicle";"ngram";1;"#BBC18F";"AERIAL VEHICLE"
"184";5;-59,560772;17,93693;"aerodynamic_component";"ngram";1;"#00E1E1";"AERODYNAMIC COMPONENT"
"185";28;-54,87858;-39,984715;"aerodynamic_continuity";"ngram";1;"#BB3739";"AERODYNAMIC CONTINUITY"
"186";5;-53,355038;12,673204;"aerodynamic_device";"ngram";1;"#00E1E1";"AERODYNAMIC DEVICE"
"187";5;-53,302692;12,608733;"aerodynamic_element";"ngram";1;"#00E1E1";"AERODYNAMIC ELEMENT"
"188";5;-57,06754;18,524424;"aerodynamic_fairing";"ngram";1;"#00E1E1";"AERODYNAMIC FAIRING"
"189";5;-58,581055;18,534075;"aerodynamic_impact";"ngram";1;"#00E1E1";"AERODYNAMIC IMPACT"
"190";5;-59,09718;21,391834;"aerodynamic_lift";"ngram";1;"#00E1E1";"AERODYNAMIC LIFT"
"191";5;-60,619198;17,868868;"aerodynamic_load";"ngram";1;"#00E1E1";"AERODYNAMIC LOAD"
"192";28;-55,871796;-51,844532;"aerodynamic_loss";"ngram";1;"#BB3739";"AERODYNAMIC LOSS"
"193";5;-53,277016;16,085814;"aerodynamic_shell";"ngram";1;"#00E1E1";"AERODYNAMIC SHELL"
"194";28;-52,50955;-52,483845;"aerofoil_section";"ngram";1;"#BB3739";"AEROFOIL SECTION"
"195";13;-49,04651;-56,339214;"aerofoil_structure";"ngram";1;"#C0C0C0";"AEROFOIL STRUCTURE"
"196";24;36,16219;-23,880665;"aerogel_material";"ngram";1;"#BB248B";"AEROGEL MATERIAL"
"197";47;-33,694218;43,613834;"aerosol_type";"ngram";1;"#BA671F";"AEROSOL TYPE"
"198";25;17,214514;23,450825;"afocal_optical_system";"ngram";1;"#BB68B6";"AFOCAL OPTICAL SYSTEM"
"199";8;-40,196262;-7,162919;"aforementioned_axis";"ngram";1;"#FF69B4";"AFOREMENTIONED AXIS"
"200";45;16,140493;-0,5836452;"aforementioned_structure";"ngram";1;"#BA6687";"AFOREMENTIONED STRUCTURE"
"201";28;-43,48119;-46,3818;"aft_direction";"ngram";1;"#BB3739";"AFT DIRECTION"
"202";13;-51,51867;-60,007786;"aft_edge";"ngram";1;"#C0C0C0";"AFT EDGE"
"203";13;-52,71566;-60,86903;"aft_face";"ngram";1;"#C0C0C0";"AFT FACE"
"204";43;-45,985706;16,434496;"aft_position";"ngram";1;"#BAF0DE";"AFT POSITION"
"205";28;-45,151993;-50,226067;"aft_segment";"ngram";1;"#BB3739";"AFT SEGMENT"
"206";28;-43,94538;-46,72053;"aft_side";"ngram";1;"#BB3739";"AFT SIDE"
"207";28;-44,2278;-47,12422;"aft_wall";"ngram";1;"#BB3739";"AFT WALL"
"208";23;-17,828272;70,747635;"agent_server";"ngram";1;"#BBF20D";"AGENT SERVER"
"209";37;27,135714;-64,17373;"agglomerator";"ngram";1;"#BA3F2C";"AGGLOMERATOR"
"210";0;-6,8262935;-80,53567;"air_amplifier";"ngram";1;"#D01702";"AIR AMPLIFIER"
"211";28;-63,839474;-50,72363;"air_breathing_engine";"ngram";1;"#BB3739";"AIR BREATHING ENGINE"
"212";18;5,2655954;-62,071445;"air_circulation_channel";"ngram";1;"#BB9A34";"AIR CIRCULATION CHANNEL"
"213";18;2,4700017;-63,37891;"air_circulation_direction";"ngram";1;"#BB9A34";"AIR CIRCULATION DIRECTION"
"214";33;-32,0983;-61,990242;"air_compartment";"ngram";1;"#BA2B7F";"AIR COMPARTMENT"
"215";0;-11,562348;-69,26811;"air_compression";"ngram";1;"#D01702";"AIR COMPRESSION"
